Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,latitude,longitude
A1037,Data Analytcis Course,123.0,5131.0,,19.0,5.0,0.041,$1307,09-11-2024,Berlin,mobile,learn data analytics,52.543468,13.400491
A1038,Data Analytcis Course,90.0,5786.0,$197.55,11.0,6.0,0.043,$1704,16-11-2024,London,mobile,online data analytic,51.502435,-0.114627
A1039,Data Analytcis Course,171.0,4304.0,$192.61,17.0,10.0,0.058,$1427,2024-11-26,Paris,mobile,learn data analytics,48.849979,2.33076
A1040,Software Engineer Course,94.0,5549.0,$231.23,25.0,9.0,0.096,$1849,2024/11/12,Berlin,mobile,data anaytics training,52.540937,13.425826
A1041,Software Engineer Course,112.0,4271.0,$196.07,27.0,6.0,,$1209,2024-11-14,Paris,desktop,data analitics online,48.850107,2.337426
A1042,Data Analytcis Course,113.0,4418.0,$191.55,27.0,10.0,,$1634,2024/11/09,Berlin,mobile,data analytics course,52.52631,13.40015
A1043,Machine Learning Course,145.0,3721.0,$180.95,21.0,7.0,0.048,$1960,29-11-2024,Paris,desktop,data analitics online,48.832984,2.377444
A1044,DevOps Course,197.0,5783.0,$204.46,23.0,6.0,,$1729,01-11-2024,London,tablet,data anaytics training,51.477685,-0.150575
A1045,DevOps Course,109.0,4866.0,$236.78,27.0,5.0,,$1585,15-11-2024,London,mobile,online data analytic,51.507814,-0.149704
A1046,Machine Learning Course,188.0,5857.0,$222.98,20.0,4.0,0.048,$1303,11-11-2024,Berlin,desktop,data anaytics training,52.516925,13.40367
A1047,Software Engineer Course,142.0,5103.0,$234.1,24.0,3.0,0.021,$1835,2024-11-08,Berlin,mobile,analytics for data,52.541522,13.405242
A1048,Data Analytcis Course,168.0,4653.0,$240.84,27.0,9.0,0.054,$1367,2024-11-24,London,mobile,online data analytic,51.505339,-0.130814
A1049,Data Analytcis Course,110.0,3524.0,$248.86,19.0,10.0,0.091,$1524,21-11-2024,Paris,mobile,learn data analytics,48.873093,2.326168
A1050,Data Analytcis Course,192.0,5938.0,$182.84,26.0,5.0,0.039,$1080,2024/11/12,Berlin,mobile,analytics for data,52.546015,13.383664
A1051,Software Engineer Course,101.0,3942.0,$206.62,16.0,5.0,0.05,$1746,2024-11-24,Paris,tablet,analytics for data,48.864497,2.357369
A1052,Software Engineer Course,157.0,3315.0,$189.56,15.0,10.0,0.064,$1026,2024-11-25,Berlin,mobile,online data analytic,52.547276,13.42069
A1053,Machine Learning Course,113.0,4945.0,$187.66,15.0,10.0,,$1564,2024/11/26,Berlin,tablet,learn data analytics,52.490542,13.381624
A1054,Data Analytcis Course,96.0,3166.0,$196.15,29.0,7.0,0.073,$1902,26-11-2024,Berlin,desktop,learn data analytics,52.516592,13.384923
A1055,Data Analytcis Course,125.0,4223.0,$183.68,15.0,6.0,,$1267,2024-11-05,Paris,desktop,data analitics online,48.867312,2.348282
A1056,Data Analytcis Course,104.0,4798.0,$210.1,18.0,3.0,,$1340,21-11-2024,Paris,desktop,analytics for data,48.883686,2.38107
A1057,Machine Learning Course,194.0,5655.0,$208.58,13.0,6.0,0.031,$1692,2024-11-16,London,mobile,data anaytics training,51.496828,-0.100058
A1058,DevOps Course,144.0,5140.0,$219.48,19.0,8.0,0.047,$1054,18-11-2024,Paris,desktop,data analitics online,48.879805,2.356963
A1059,Software Engineer Course,179.0,3025.0,$238.81,17.0,3.0,0.017,,2024-11-11,London,mobile,data analitics online,51.49562,-0.132408
A1060,Software Engineer Course,166.0,5223.0,$189.76,18.0,7.0,0.042,$1219,16-11-2024,Paris,tablet,data analytics course,48.86737,2.376884
A1061,Data Analytcis Course,166.0,5089.0,,26.0,7.0,0.042,$1946,11-11-2024,Berlin,tablet,analytics for data,52.490968,13.380902
A1062,Machine Learning Course,118.0,5016.0,$204.31,19.0,9.0,0.045,$1833,2024/11/08,Paris,desktop,analytics for data,48.864236,2.354624
A1063,DevOps Course,185.0,3617.0,$222.32,24.0,7.0,0.038,$1963,23-11-2024,Berlin,mobile,data analytics course,52.509996,13.433909
A1064,Data Analytcis Course,116.0,3764.0,$232.03,28.0,10.0,0.086,$1348,2024/11/20,Paris,tablet,data analytics course,48.870869,2.369605
A1065,Software Engineer Course,99.0,4489.0,$183.73,15.0,6.0,0.061,$1264,2024-11-05,Paris,desktop,online data analytic,48.880474,2.357267
A1066,DevOps Course,172.0,4441.0,$221.18,14.0,8.0,0.047,$1771,27-11-2024,Berlin,mobile,analytics for data,52.544356,13.398666
A1067,Data Analytcis Course,138.0,5751.0,$199.11,26.0,9.0,0.052,$1337,2024-11-10,Paris,desktop,data analitics online,48.847205,2.366804
A1068,Data Analytcis Course,84.0,4036.0,$234.22,23.0,10.0,0.119,$1287,04-11-2024,Berlin,desktop,learn data analytics,52.51627,13.387522
A1069,DevOps Course,124.0,4942.0,$240.59,18.0,3.0,0.024,$1922,2024-11-16,Berlin,desktop,learn data analytics,52.509508,13.400402
A1070,Data Analytcis Course,122.0,4989.0,$215.48,12.0,5.0,0.041,$1975,2024/11/06,Paris,mobile,data analitics online,48.863668,2.325162
A1071,Software Engineer Course,180.0,3006.0,$228.14,22.0,7.0,0.039,$1556,2024-11-04,Berlin,tablet,learn data analytics,52.507371,13.41459
A1072,DevOps Course,133.0,3728.0,$199.13,11.0,10.0,,,2024-11-09,London,desktop,data analitics online,51.527989,-0.153369
A1073,DevOps Course,164.0,3734.0,$225.39,27.0,8.0,0.04,$1728,12-11-2024,Paris,tablet,learn data analytics,48.883018,2.346122
A1074,Software Engineer Course,150.0,4621.0,$246.3,15.0,6.0,0.049,$1554,2024-11-09,Paris,desktop,data analitics online,48.854166,2.366901
A1075,Data Analytcis Course,97.0,3212.0,$212.55,27.0,10.0,0.103,$1994,23-11-2024,Berlin,desktop,analytics for data,52.508964,13.406226
A1076,Machine Learning Course,128.0,4225.0,$228.24,30.0,4.0,0.031,$1618,2024/11/08,Berlin,mobile,learn data analytics,52.506079,13.419064
A1077,Software Engineer Course,99.0,4779.0,$233.78,26.0,10.0,0.101,$1086,2024-11-05,London,desktop,online data analytic,51.48641,-0.123805
A1078,Machine Learning Course,86.0,5352.0,$234.05,11.0,5.0,0.058,$1364,2024-11-09,London,tablet,online data analytic,51.50614,-0.131515
A1079,Data Analytcis Course,118.0,5405.0,$187.28,25.0,7.0,0.058,$1836,2024-11-05,Berlin,tablet,analytics for data,52.521113,13.386349
A1080,Data Analytcis Course,127.0,5430.0,$199.13,14.0,6.0,0.047,$1932,2024/11/25,Paris,mobile,analytics for data,48.866051,2.335634
A1081,Software Engineer Course,83.0,4808.0,$241.35,20.0,7.0,0.084,$1038,30-11-2024,Paris,mobile,learn data analytics,48.854993,2.374563
A1082,Data Analytcis Course,149.0,3587.0,$217.53,23.0,8.0,,,17-11-2024,Paris,mobile,data analitics online,48.856957,2.334069
A1083,DevOps Course,168.0,4683.0,$215.28,30.0,8.0,0.048,$1327,2024/11/28,Berlin,mobile,data analitics online,52.528479,13.383005
A1084,DevOps Course,112.0,5814.0,$227.38,11.0,8.0,0.071,$1467,2024-11-03,Paris,tablet,analytics for data,48.85123,2.328237
A1085,DevOps Course,123.0,3292.0,$233.2,28.0,6.0,0.049,$1174,2024-11-19,Paris,desktop,data anaytics training,48.858544,2.361523
A1086,Machine Learning Course,174.0,4305.0,$206.02,20.0,3.0,0.034,$1057,2024/11/23,Paris,desktop,learn data analytics,48.844753,2.346061
A1087,Software Engineer Course,143.0,4368.0,,27.0,7.0,0.049,$1199,03-11-2024,London,tablet,analytics for data,51.516733,-0.123807
A1088,Data Analytcis Course,195.0,5935.0,$209.68,23.0,9.0,0.046,$1966,2024-11-07,London,tablet,online data analytic,51.506304,-0.14191
A1089,DevOps Course,176.0,5847.0,$241.04,13.0,6.0,0.034,$1194,2024-11-02,Berlin,desktop,online data analytic,52.51224,13.424778
A1090,Machine Learning Course,141.0,4851.0,$227.39,28.0,5.0,,$1821,2024/11/15,Berlin,desktop,analytics for data,52.545943,13.375294
A1091,Software Engineer Course,108.0,4710.0,$204.16,19.0,10.0,0.093,$1731,2024/11/20,London,tablet,data analitics online,51.517893,-0.127561
A1092,Machine Learning Course,112.0,3345.0,,11.0,6.0,0.047,$1859,2024-11-23,Berlin,tablet,analytics for data,52.502243,13.420396
A1093,DevOps Course,,5903.0,$184.41,23.0,9.0,,$1188,20-11-2024,Paris,tablet,online data analytic,48.855944,2.337604
A1094,Data Analytcis Course,145.0,5004.0,$216.45,22.0,5.0,0.034,$1496,2024-11-01,Paris,tablet,data analitics online,48.8489,2.344003
A1095,Machine Learning Course,183.0,3947.0,$197.3,15.0,8.0,0.044,$1645,2024-11-14,Paris,desktop,data anaytics training,48.82929,2.334269
A1096,DevOps Course,113.0,3690.0,$229.42,20.0,5.0,0.044,$1915,2024-11-28,London,tablet,learn data analytics,51.511992,-0.103912
A1097,Data Analytcis Course,101.0,5943.0,$187.32,27.0,6.0,0.059,$1614,2024-11-15,Berlin,tablet,data analitics online,52.497742,13.410368
A1098,DevOps Course,189.0,5357.0,$222.5,24.0,3.0,0.05,$1839,2024-11-25,Berlin,tablet,data analytics course,52.531656,13.417422
A1099,Machine Learning Course,154.0,3596.0,$236.14,30.0,9.0,0.058,$1036,2024/11/06,Paris,tablet,online data analytic,48.853397,2.366968
A1100,Machine Learning Course,179.0,5162.0,$246.76,16.0,5.0,0.05,$1052,2024-11-29,London,desktop,online data analytic,51.492194,-0.117409
A1101,Software Engineer Course,148.0,3747.0,$244.41,18.0,8.0,0.054,$1092,2024/11/17,London,tablet,learn data analytics,51.521143,-0.117363
A1102,Machine Learning Course,177.0,4822.0,$197.03,26.0,9.0,0.051,$1909,2024-11-04,Paris,mobile,online data analytic,48.849369,2.346384
A1103,Data Analytcis Course,119.0,5800.0,$221.36,11.0,8.0,,,29-11-2024,Paris,desktop,analytics for data,48.843505,2.360306
A1104,Data Analytcis Course,89.0,3594.0,,14.0,6.0,0.067,$1026,2024/11/15,Berlin,tablet,data analytics course,52.54054,13.391459
A1105,Data Analytcis Course,146.0,4765.0,$230.22,23.0,5.0,0.034,$1944,2024/11/28,Berlin,tablet,analytics for data,52.493982,13.391019
A1106,Software Engineer Course,109.0,4128.0,$183.65,12.0,5.0,,,2024-11-30,Paris,desktop,data analitics online,48.885696,2.379349
A1107,Machine Learning Course,159.0,5127.0,$197.16,21.0,4.0,0.025,$1867,2024-11-03,London,tablet,learn data analytics,51.522697,-0.153713
A1108,Machine Learning Course,144.0,5674.0,$235.36,12.0,3.0,0.021,$1505,2024-11-22,Berlin,desktop,analytics for data,52.509787,13.3861
A1109,Machine Learning Course,122.0,3793.0,$237.22,19.0,8.0,0.066,$1842,2024-11-20,Paris,tablet,online data analytic,48.869441,2.351679
A1110,Software Engineer Course,112.0,4315.0,$235.33,28.0,9.0,0.08,$1116,2024/11/08,Paris,mobile,data analytics course,48.885119,2.336546
A1111,DevOps Course,174.0,4704.0,$192.32,21.0,10.0,0.049,$1501,2024/11/24,Berlin,mobile,learn data analytics,52.491572,13.42063
A1112,Software Engineer Course,168.0,3349.0,$235.6,23.0,9.0,0.054,$1894,2024-11-09,Berlin,mobile,online data analytic,52.516624,13.425546
A1113,DevOps Course,173.0,3501.0,$223.9,28.0,10.0,0.044,$1179,2024/11/25,Berlin,mobile,data analytics course,52.537135,13.426433
A1114,Software Engineer Course,91.0,,$203.52,,9.0,0.099,$1838,20-11-2024,Berlin,desktop,data analytics course,52.547483,13.412279
A1115,Data Analytcis Course,140.0,5405.0,$195.69,21.0,8.0,,$1094,21-11-2024,Berlin,desktop,data anaytics training,52.531533,13.401392
A1116,DevOps Course,93.0,3425.0,$229.76,26.0,4.0,0.043,$1344,24-11-2024,Paris,mobile,online data analytic,48.847285,2.379017
A1117,Data Analytcis Course,114.0,5263.0,$189.13,23.0,5.0,0.044,$1434,05-11-2024,Paris,mobile,data analytics course,48.855398,2.34891
A1118,Machine Learning Course,172.0,3889.0,,21.0,10.0,,$1766,2024-11-16,London,tablet,online data analytic,51.515546,-0.154741
A1119,Data Analytcis Course,188.0,3327.0,$193.76,24.0,6.0,0.047,$1220,03-11-2024,London,tablet,online data analytic,51.48021,-0.104489
A1120,Machine Learning Course,117.0,,$214.18,29.0,4.0,0.034,$1348,2024/11/23,Berlin,mobile,learn data analytics,52.539868,13.37963
A1121,DevOps Course,113.0,5471.0,$215.57,27.0,9.0,0.038,$1123,2024-11-23,Paris,mobile,analytics for data,48.877194,2.327053
A1122,Software Engineer Course,109.0,3550.0,$240.33,14.0,8.0,0.073,$1982,2024-11-24,Berlin,tablet,learn data analytics,52.526503,13.426655
A1123,Machine Learning Course,174.0,3178.0,$225.67,18.0,10.0,0.057,$1140,20-11-2024,Berlin,desktop,data analitics online,52.52358,13.379846
A1124,DevOps Course,96.0,4673.0,$192.88,24.0,5.0,0.052,$1962,2024-11-10,Berlin,mobile,learn data analytics,52.522859,13.395993
A1125,Data Analytcis Course,110.0,4254.0,$187.87,11.0,4.0,,$1172,2024-11-04,Paris,mobile,data anaytics training,48.878211,2.348512
A1126,Machine Learning Course,163.0,3658.0,$237.63,23.0,7.0,0.043,$1699,2024-11-23,Paris,tablet,online data analytic,48.874126,2.378724
A1127,DevOps Course,161.0,5319.0,$235.98,13.0,4.0,0.025,$1423,2024-11-18,Berlin,mobile,learn data analytics,52.544698,13.392155
A1128,DevOps Course,195.0,5278.0,$193.49,30.0,7.0,0.047,$1456,2024/11/04,Berlin,mobile,data analytics course,52.538083,13.402982
A1129,Machine Learning Course,84.0,3755.0,$218.88,14.0,9.0,0.047,$1299,2024/11/05,London,tablet,analytics for data,51.495562,-0.148948
A1130,Machine Learning Course,113.0,4580.0,$194.82,11.0,6.0,0.059,$1248,2024/11/28,London,tablet,data analytics course,51.517712,-0.099814
A1131,Software Engineer Course,117.0,3809.0,$225.14,12.0,5.0,0.032,$1495,2024-11-09,London,desktop,data anaytics training,51.48027,-0.107841
A1132,DevOps Course,135.0,5118.0,$219.99,27.0,6.0,0.044,$1089,2024-11-20,London,mobile,online data analytic,51.478717,-0.117284
A1133,Machine Learning Course,92.0,5766.0,$186.14,28.0,7.0,0.076,$1013,27-11-2024,Paris,tablet,data anaytics training,48.850102,2.360609
A1134,Data Analytcis Course,188.0,3934.0,$206.21,16.0,9.0,0.048,,04-11-2024,London,desktop,data analytics course,51.492488,-0.128952
A1135,Data Analytcis Course,101.0,4724.0,$228.38,13.0,7.0,0.034,$1243,2024-11-20,London,desktop,learn data analytics,51.535762,-0.110515
A1136,Machine Learning Course,111.0,5895.0,$205.25,29.0,4.0,0.036,$1693,2024-11-04,Berlin,mobile,data analytics course,52.530375,13.399641
A1137,Software Engineer Course,122.0,4048.0,$202.23,28.0,10.0,0.082,,26-11-2024,Paris,mobile,online data analytic,48.871378,2.348462
A1138,Data Analytcis Course,99.0,3169.0,$237.68,21.0,6.0,,$1509,2024-11-22,Berlin,mobile,online data analytic,52.516899,13.396162
A1139,DevOps Course,154.0,4535.0,$229.29,11.0,3.0,0.019,$1434,2024/11/01,Berlin,tablet,data anaytics training,52.526017,13.403614
A1140,Machine Learning Course,129.0,3849.0,$249.29,22.0,10.0,0.078,$1767,2024/11/11,Berlin,desktop,analytics for data,52.544781,13.38992
A1141,Data Analytcis Course,,4259.0,$182.98,10.0,10.0,0.031,$1048,16-11-2024,London,mobile,analytics for data,51.519015,-0.126337
A1142,DevOps Course,143.0,3628.0,,18.0,9.0,0.063,$1566,17-11-2024,Berlin,tablet,data analytics course,52.494256,13.375637
A1143,Software Engineer Course,80.0,3269.0,,12.0,4.0,0.05,$1753,23-11-2024,London,desktop,data analitics online,51.492311,-0.125333
A1144,Machine Learning Course,134.0,3724.0,$188.02,26.0,9.0,0.047,$1891,2024/11/07,London,desktop,online data analytic,51.503223,-0.136242
A1145,Machine Learning Course,174.0,4838.0,$242.35,21.0,3.0,0.017,$1599,2024-11-22,London,desktop,data analitics online,51.482435,-0.098973
A1146,Software Engineer Course,196.0,4524.0,$192.01,15.0,8.0,0.041,$1048,2024-11-13,Berlin,desktop,data analytics course,52.543938,13.382842
A1147,Software Engineer Course,194.0,4694.0,$228.15,17.0,7.0,0.036,$1874,2024-11-14,Berlin,tablet,learn data analytics,52.515023,13.421547
A1148,Software Engineer Course,180.0,4326.0,$221.67,13.0,,,$1427,06-11-2024,Berlin,tablet,online data analytic,52.502368,13.425717
A1149,Data Analytcis Course,100.0,4235.0,$222.61,10.0,8.0,0.051,$1814,01-11-2024,London,desktop,data anaytics training,51.492647,-0.109601
A1150,Machine Learning Course,153.0,4367.0,$184.51,29.0,9.0,0.059,$1507,2024-11-13,London,mobile,analytics for data,51.477628,-0.144452
A1151,Machine Learning Course,110.0,3748.0,$198.68,24.0,9.0,0.082,$1041,05-11-2024,London,tablet,data anaytics training,51.498219,-0.145641
A1152,Software Engineer Course,116.0,3901.0,,21.0,4.0,0.034,$1483,2024-11-13,Berlin,tablet,online data analytic,52.496097,13.409437
A1153,Software Engineer Course,156.0,3335.0,$236.98,29.0,7.0,0.045,$1143,2024-11-14,London,desktop,data analytics course,51.48236,-0.150983
A1154,Software Engineer Course,177.0,5671.0,$210.74,19.0,6.0,0.058,$1172,25-11-2024,London,tablet,data analytics course,51.531447,-0.135475
A1155,DevOps Course,89.0,3408.0,$214.78,25.0,9.0,0.101,$1898,2024/11/15,Berlin,mobile,data analytics course,52.533714,13.422362
A1156,DevOps Course,155.0,4422.0,$183.96,14.0,8.0,0.037,$1143,2024/11/15,Paris,mobile,analytics for data,48.883892,2.346957
A1157,Data Analytcis Course,123.0,3097.0,$190.55,20.0,8.0,0.065,$1640,2024/11/22,London,tablet,data analytics course,51.480075,-0.127081
A1158,Software Engineer Course,102.0,3621.0,$244.82,10.0,5.0,0.049,$1375,2024/11/12,Paris,mobile,learn data analytics,48.880805,2.372778
A1159,Software Engineer Course,150.0,4806.0,$244.53,15.0,9.0,,$1602,07-11-2024,London,mobile,data analitics online,51.489855,-0.122435
A1160,Machine Learning Course,160.0,,$245.87,11.0,6.0,0.037,,2024-11-05,Berlin,desktop,analytics for data,52.502101,13.379928
A1161,Machine Learning Course,143.0,3901.0,$191.38,29.0,4.0,0.053,$1786,2024-11-24,Berlin,mobile,learn data analytics,52.50279,13.431448
A1162,Machine Learning Course,178.0,4673.0,$222.46,29.0,6.0,0.051,$1219,2024/11/04,Paris,tablet,online data analytic,48.854298,2.328751
A1163,DevOps Course,152.0,3542.0,$208.96,13.0,9.0,,$1735,2024/11/13,Paris,desktop,data analytics course,48.832271,2.327928
A1164,DevOps Course,139.0,4347.0,$238.19,26.0,5.0,,$1384,13-11-2024,Berlin,tablet,analytics for data,52.546417,13.420067
A1165,Data Analytcis Course,175.0,5014.0,$247.24,25.0,7.0,0.04,$1499,15-11-2024,Paris,mobile,learn data analytics,48.847064,2.338209
A1166,Software Engineer Course,92.0,4185.0,$218.46,21.0,9.0,0.035,$1567,2024/11/03,Paris,mobile,data analitics online,48.854867,2.37667
A1167,DevOps Course,123.0,5964.0,,17.0,6.0,,$1363,2024/11/03,Paris,desktop,data anaytics training,48.864912,2.375852
A1168,Data Analytcis Course,86.0,5124.0,$183.71,13.0,10.0,0.116,$1137,20-11-2024,London,mobile,data anaytics training,51.506971,-0.10805
A1169,Machine Learning Course,117.0,4162.0,$238.08,28.0,10.0,0.085,$1186,2024/11/22,London,mobile,online data analytic,51.483457,-0.134859
A1170,Data Analytcis Course,146.0,4330.0,$191.9,20.0,3.0,0.021,$1748,2024/11/09,Paris,mobile,online data analytic,48.839315,2.36779
A1171,Data Analytcis Course,89.0,3268.0,,17.0,4.0,0.045,$1233,2024/11/13,Paris,desktop,online data analytic,48.83961,2.347382
A1172,DevOps Course,195.0,3483.0,$213.99,27.0,7.0,0.036,$1796,23-11-2024,Paris,desktop,learn data analytics,48.841908,2.334767
A1173,Data Analytcis Course,170.0,4519.0,$240.63,22.0,7.0,0.041,$1012,27-11-2024,London,mobile,analytics for data,51.496453,-0.133346
A1174,Data Analytcis Course,97.0,3605.0,$240.29,21.0,7.0,0.045,$1682,2024-11-10,Berlin,desktop,data analitics online,52.518268,13.434899
A1175,Machine Learning Course,159.0,5076.0,$204.97,15.0,10.0,0.063,$1638,17-11-2024,Berlin,tablet,data analytics course,52.505997,13.389126
A1176,Machine Learning Course,131.0,5352.0,$225.86,24.0,10.0,,$1961,2024-11-20,London,mobile,online data analytic,51.527331,-0.103064
A1177,Software Engineer Course,108.0,5503.0,$185.26,11.0,7.0,0.065,$1921,06-11-2024,London,mobile,data analitics online,51.510775,-0.127085
A1178,DevOps Course,93.0,4308.0,$209.83,19.0,9.0,0.097,$1694,2024-11-20,London,mobile,data analytics course,51.484846,-0.132505
A1179,Data Analytcis Course,137.0,3555.0,$213.5,29.0,3.0,,,2024/11/06,Paris,desktop,data analytics course,48.836855,2.333875
A1180,Software Engineer Course,81.0,5615.0,$193.14,30.0,6.0,0.074,$1255,2024/11/28,Paris,mobile,analytics for data,48.882603,2.375977
A1181,Data Analytcis Course,160.0,4743.0,$206.22,23.0,10.0,0.062,$1825,2024/11/20,London,mobile,learn data analytics,51.508254,-0.140454
A1182,Machine Learning Course,186.0,3337.0,$183.58,16.0,8.0,0.043,$1045,2024-11-30,Berlin,desktop,online data analytic,52.492139,13.404062
A1183,Data Analytcis Course,105.0,3234.0,$238.8,27.0,10.0,0.095,$1248,2024/11/06,Berlin,desktop,online data analytic,52.527912,13.407657
A1184,Data Analytcis Course,131.0,3913.0,$203.69,14.0,10.0,,$1079,2024/11/25,London,desktop,data anaytics training,51.481145,-0.120133
A1185,Data Analytcis Course,129.0,3208.0,$204.2,18.0,8.0,0.032,$1456,2024-11-29,London,desktop,learn data analytics,51.512836,-0.108362
A1186,Machine Learning Course,187.0,5972.0,$220.64,30.0,7.0,0.037,$1980,2024-11-14,London,desktop,data analytics course,51.513878,-0.149114
A1187,Software Engineer Course,167.0,3662.0,$235.43,10.0,7.0,0.042,$1684,2024-11-25,London,mobile,data anaytics training,51.518449,-0.121585
A1188,DevOps Course,140.0,3359.0,$182.13,29.0,7.0,0.045,$1973,2024/11/28,London,desktop,data analitics online,51.505811,-0.154832
